Vencimento;1/21/2004;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
1/2/2003;1.44%;1.46%;1,487.19;1,486.89;
1/3/2003;1.43%;1.45%;1,488.75;1,488.44;
1/6/2003;1.43%;1.45%;1,490.14;1,489.84;
1/7/2003;1.42%;1.44%;1,491.70;1,491.39;
1/8/2003;1.04%;1.06%;1,498.91;1,498.60;
1/9/2003;0.91%;0.93%;1,502.29;1,501.98;
1/10/2003;0.60%;0.62%;1,508.43;1,508.13;
1/13/2003;0.58%;0.60%;1,510.11;1,509.80;
1/14/2003;0.57%;0.59%;1,511.63;1,511.32;
1/15/2003;0.55%;0.57%;1,513.30;1,513.00;
1/16/2003;0.54%;0.56%;1,514.83;1,514.52;
1/17/2003;0.54%;0.56%;1,516.19;1,515.89;
1/20/2003;0.53%;0.55%;1,517.72;1,517.41;
1/21/2003;0.53%;0.55%;1,519.09;1,518.79;
1/22/2003;0.53%;0.55%;1,520.46;1,520.16;
1/23/2003;0.54%;0.56%;1,521.71;1,521.41;
1/24/2003;0.54%;0.56%;1,523.11;1,522.81;
1/27/2003;0.54%;0.56%;1,524.51;1,524.21;
1/28/2003;0.54%;0.56%;1,525.91;1,525.62;
1/29/2003;0.55%;0.57%;1,527.17;1,526.87;
1/30/2003;0.54%;0.56%;1,528.72;1,528.43;
1/31/2003;0.58%;0.60%;1,529.54;1,529.24;
2/3/2003;0.58%;0.60%;1,530.95;1,530.65;
2/4/2003;0.58%;0.60%;1,532.36;1,532.06;
2/5/2003;0.57%;0.59%;1,533.92;1,533.62;
2/6/2003;0.55%;0.57%;1,535.62;1,535.33;
2/7/2003;0.55%;0.57%;1,537.03;1,536.74;
2/10/2003;0.54%;0.56%;1,538.59;1,538.30;
2/11/2003;0.54%;0.56%;1,540.00;1,539.71;
2/12/2003;0.55%;0.57%;1,541.27;1,540.99;
2/13/2003;0.55%;0.57%;1,542.69;1,542.40;
2/14/2003;0.55%;0.57%;1,544.10;1,543.82;
2/17/2003;0.56%;0.58%;1,545.38;1,545.10;
2/18/2003;0.55%;0.57%;1,546.94;1,546.66;
2/19/2003;0.54%;0.56%;1,548.50;1,548.22;
2/20/2003;0.49%;0.51%;1,550.67;1,550.39;
2/21/2003;0.49%;0.51%;1,552.14;1,551.86;
2/24/2003;0.48%;0.50%;1,553.74;1,553.47;
2/25/2003;0.46%;0.48%;1,555.50;1,555.22;
2/26/2003;0.46%;0.48%;1,556.97;1,556.69;
2/27/2003;0.45%;0.47%;1,558.58;1,558.30;
2/28/2003;0.45%;0.47%;1,560.05;1,559.77;
3/5/2003;0.45%;0.47%;1,561.55;1,561.27;1,559.79
3/6/2003;0.45%;0.47%;1,562.99;1,562.72;1,561.21
3/7/2003;0.44%;0.46%;1,564.61;1,564.33;1,562.85
3/10/2003;0.41%;0.43%;1,566.49;1,566.22;1,564.73
3/11/2003;0.39%;0.41%;1,568.24;1,567.97;1,566.48
3/12/2003;0.38%;0.40%;1,569.85;1,569.58;1,568.10
3/13/2003;0.38%;0.40%;1,571.33;1,571.06;1,569.57
3/14/2003;0.36%;0.38%;1,573.08;1,572.81;1,571.32
3/17/2003;0.35%;0.37%;1,574.70;1,574.43;1,572.94
3/18/2003;0.34%;0.36%;1,576.31;1,576.05;1,574.55
3/19/2003;0.33%;0.35%;1,577.93;1,577.66;1,576.17
3/20/2003;0.31%;0.33%;1,579.68;1,579.42;1,577.92
3/21/2003;0.27%;0.29%;1,581.69;1,581.43;1,579.94
3/24/2003;0.25%;0.27%;1,583.44;1,583.18;1,581.69
3/25/2003;0.22%;0.24%;1,585.32;1,585.06;1,583.57
3/26/2003;0.19%;0.21%;1,587.20;1,586.94;1,585.44
3/27/2003;0.15%;0.17%;1,589.20;1,588.94;1,587.45
3/28/2003;0.15%;0.17%;1,590.69;1,590.43;1,588.94
3/31/2003;0.15%;0.17%;1,592.17;1,591.92;1,590.42
4/1/2003;0.15%;0.17%;1,593.66;1,593.40;1,591.91
4/2/2003;0.14%;0.16%;1,595.28;1,595.02;1,593.52
4/3/2003;0.12%;0.14%;1,597.02;1,596.77;1,595.27
4/4/2003;0.11%;0.13%;1,598.64;1,598.38;1,596.88
4/7/2003;0.11%;0.13%;1,600.13;1,599.87;1,598.37
4/8/2003;0.10%;0.12%;1,601.74;1,601.49;1,599.99
4/9/2003;0.10%;0.12%;1,603.24;1,602.99;1,601.48
4/10/2003;0.10%;0.12%;1,604.73;1,604.48;1,602.98
4/11/2003;0.11%;0.13%;1,606.10;1,605.85;1,604.34
4/14/2003;0.11%;0.13%;1,607.60;1,607.35;1,605.84
4/15/2003;0.10%;0.12%;1,609.22;1,608.97;1,607.46
4/16/2003;0.11%;0.13%;1,610.59;1,610.35;1,608.84
4/17/2003;0.11%;0.13%;1,612.10;1,611.85;1,610.34
4/22/2003;0.10%;0.12%;1,613.72;1,613.48;1,611.96
4/23/2003;0.10%;0.12%;1,615.22;1,614.98;1,613.47
4/24/2003;0.10%;0.12%;1,616.73;1,616.49;1,614.97
4/25/2003;0.09%;0.11%;1,618.36;1,618.11;1,616.60
4/28/2003;0.09%;0.11%;1,619.86;1,619.62;1,618.11
4/29/2003;0.09%;0.11%;1,621.37;1,621.13;1,619.61
4/30/2003;0.09%;0.11%;1,622.88;1,622.64;1,621.12
5/2/2003;0.09%;0.11%;1,624.39;1,624.15;1,622.63
5/5/2003;0.10%;0.12%;1,625.79;1,625.55;1,624.03
5/6/2003;0.10%;0.12%;1,627.30;1,627.07;1,625.54
5/7/2003;0.10%;0.12%;1,628.82;1,628.58;1,627.06
5/8/2003;0.09%;0.11%;1,630.45;1,630.22;1,628.69
5/9/2003;0.09%;0.11%;1,631.97;1,631.74;1,630.21
5/12/2003;0.09%;0.11%;1,633.49;1,633.26;1,631.73
5/13/2003;0.09%;0.11%;1,635.01;1,634.78;1,633.25
5/14/2003;0.09%;0.11%;1,636.53;1,636.30;1,634.77
5/15/2003;0.09%;0.11%;1,638.06;1,637.83;1,636.29
5/16/2003;0.09%;0.11%;1,639.58;1,639.36;1,637.82
5/19/2003;0.09%;0.11%;1,641.11;1,640.88;1,639.35
5/20/2003;0.09%;0.11%;1,642.64;1,642.41;1,640.87
5/21/2003;0.09%;0.11%;1,644.17;1,643.94;1,642.40
5/22/2003;0.09%;0.11%;1,645.70;1,645.47;1,643.93
5/23/2003;0.08%;0.10%;1,647.34;1,647.12;1,645.57
5/26/2003;0.09%;0.11%;1,648.76;1,648.54;1,647.00
5/27/2003;0.09%;0.11%;1,650.30;1,650.08;1,648.53
