Vencimento;1/18/2006;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
1/2/2003;1.88%;1.92%;1,426.52;1,424.82;
1/3/2003;1.87%;1.91%;1,428.31;1,426.61;
1/6/2003;1.87%;1.91%;1,429.67;1,427.97;
1/7/2003;1.85%;1.89%;1,431.89;1,430.19;
1/8/2003;1.83%;1.87%;1,434.11;1,432.41;
1/9/2003;1.79%;1.83%;1,437.19;1,435.48;
1/10/2003;1.67%;1.71%;1,443.69;1,441.98;
1/13/2003;1.66%;1.70%;1,445.49;1,443.78;
1/14/2003;1.64%;1.68%;1,447.72;1,446.01;
1/15/2003;1.59%;1.63%;1,451.24;1,449.52;
1/16/2003;1.57%;1.61%;1,453.47;1,451.75;
1/17/2003;1.55%;1.59%;1,455.70;1,453.98;
1/20/2003;1.55%;1.59%;1,457.08;1,455.36;
1/21/2003;1.55%;1.59%;1,458.45;1,456.73;
1/22/2003;1.54%;1.58%;1,460.26;1,458.54;
1/23/2003;1.55%;1.59%;1,461.23;1,459.51;
1/24/2003;1.54%;1.58%;1,463.06;1,461.34;
1/27/2003;1.53%;1.59%;1,464.89;1,462.32;
1/28/2003;1.53%;1.59%;1,466.30;1,463.72;
1/29/2003;1.53%;1.59%;1,467.70;1,465.13;
1/30/2003;1.52%;1.58%;1,469.54;1,466.97;
1/31/2003;1.52%;1.58%;1,470.95;1,468.38;
2/3/2003;1.51%;1.57%;1,472.79;1,470.22;
2/4/2003;1.51%;1.57%;1,474.20;1,471.63;
2/5/2003;1.50%;1.56%;1,476.04;1,473.47;
2/6/2003;1.49%;1.55%;1,477.88;1,475.31;
2/7/2003;1.49%;1.55%;1,479.29;1,476.72;
2/10/2003;1.49%;1.55%;1,480.71;1,478.14;
2/11/2003;1.49%;1.55%;1,482.12;1,479.56;
2/12/2003;1.49%;1.55%;1,483.54;1,480.97;
2/13/2003;1.49%;1.55%;1,484.96;1,482.39;
2/14/2003;1.49%;1.55%;1,486.38;1,483.81;
2/17/2003;1.48%;1.54%;1,488.22;1,485.66;
2/18/2003;1.48%;1.54%;1,489.64;1,487.08;
2/19/2003;1.47%;1.53%;1,491.49;1,488.93;
2/20/2003;1.46%;1.52%;1,493.39;1,490.82;
2/21/2003;1.45%;1.51%;1,495.28;1,492.72;
2/24/2003;1.44%;1.50%;1,497.18;1,494.62;
2/25/2003;1.44%;1.50%;1,498.65;1,496.09;
2/26/2003;1.44%;1.50%;1,500.13;1,497.57;
2/27/2003;1.43%;1.49%;1,502.03;1,499.47;
2/28/2003;1.43%;1.49%;1,503.51;1,500.95;
3/5/2003;1.43%;1.49%;1,505.07;1,502.51;1,501.03
3/6/2003;1.43%;1.49%;1,506.46;1,503.91;1,502.33
3/7/2003;1.42%;1.48%;1,508.37;1,505.82;1,504.32
3/10/2003;1.42%;1.48%;1,509.85;1,507.30;1,505.81
3/11/2003;1.42%;1.48%;1,511.34;1,508.78;1,507.29
3/12/2003;1.41%;1.47%;1,513.25;1,510.69;1,509.20
3/13/2003;1.41%;1.47%;1,514.74;1,512.18;1,510.68
