Vencimento;17/03/2010;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Base 9:00
04/01/2010;0,00%;0,01%;4.100,24;4.100,16;4.098,80
05/01/2010;0,00%;0,01%;4.101,59;4.101,51;4.100,14
06/01/2010;0,00%;0,01%;4.102,94;4.102,86;4.101,49
07/01/2010;0,00%;0,01%;4.104,29;4.104,22;4.102,85
08/01/2010;0,00%;0,01%;4.105,64;4.105,57;4.104,20
11/01/2010;0,00%;0,01%;4.107,00;4.106,92;4.105,56
12/01/2010;0,00%;0,01%;4.108,35;4.108,28;4.106,91
13/01/2010;0,00%;0,01%;4.109,70;4.109,63;4.108,26
14/01/2010;0,00%;0,01%;4.111,06;4.110,99;4.109,62
15/01/2010;0,00%;0,01%;4.112,41;4.112,34;4.110,97
18/01/2010;0,00%;0,01%;4.113,76;4.113,70;4.112,33
19/01/2010;0,00%;0,01%;4.115,12;4.115,05;4.113,68
20/01/2010;0,00%;0,01%;4.116,47;4.116,41;4.115,04
21/01/2010;0,00%;0,01%;4.117,83;4.117,77;4.116,40
22/01/2010;0,00%;0,01%;4.119,18;4.119,13;4.117,75
25/01/2010;0,00%;0,01%;4.120,54;4.120,48;4.119,11
26/01/2010;0,00%;0,01%;4.121,90;4.121,84;4.120,47
27/01/2010;0,00%;0,01%;4.123,25;4.123,20;4.121,82
28/01/2010;0,00%;0,01%;4.124,61;4.124,56;4.123,18
29/01/2010;0,00%;0,01%;4.125,97;4.125,92;4.124,54
01/02/2010;0,00%;0,01%;4.127,33;4.127,28;4.125,90
02/02/2010;0,00%;0,01%;4.128,69;4.128,64;4.127,26
03/02/2010;0,00%;0,01%;4.130,05;4.130,00;4.128,62
04/02/2010;0,00%;0,01%;4.131,41;4.131,36;4.129,98
05/02/2010;0,00%;0,01%;4.132,77;4.132,72;4.131,34
08/02/2010;0,00%;0,01%;4.134,13;4.134,08;4.132,71
09/02/2010;0,00%;0,01%;4.135,49;4.135,45;4.134,07
10/02/2010;0,00%;0,01%;4.136,85;4.136,81;4.135,43
11/02/2010;0,00%;0,01%;4.138,21;4.138,17;4.136,80
12/02/2010;0,00%;0,01%;4.139,57;4.139,54;4.138,16
17/02/2010;0,00%;0,01%;4.140,94;4.140,90;4.139,53
18/02/2010;0,00%;0,01%;4.142,30;4.142,27;4.140,89
19/02/2010;0,00%;0,01%;4.143,66;4.143,64;4.142,25
22/02/2010;0,00%;0,01%;4.145,03;4.145,00;4.143,62
23/02/2010;0,00%;0,01%;4.146,39;4.146,37;4.144,98
