Vencimento;07/03/2015;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2014;-0,02%;0,00%;5.900,72;5.899,34;5.897,11
03/01/2014;-0,02%;0,00%;5.902,93;5.901,55;5.899,32
06/01/2014;-0,02%;0,00%;5.905,14;5.903,76;5.901,53
07/01/2014;-0,02%;0,00%;5.907,34;5.905,97;5.903,74
08/01/2014;-0,02%;0,00%;5.909,55;5.908,19;5.905,95
09/01/2014;-0,02%;0,00%;5.911,77;5.910,40;5.908,16
10/01/2014;-0,02%;0,00%;5.913,97;5.912,61;5.910,38
13/01/2014;-0,02%;0,00%;5.916,18;5.914,83;5.912,59
14/01/2014;-0,02%;0,00%;5.918,40;5.917,05;5.914,81
15/01/2014;-0,02%;0,00%;5.920,61;5.919,26;5.917,02
16/01/2014;-0,02%;0,00%;5.922,93;5.921,59;5.919,24
17/01/2014;-0,02%;0,00%;5.925,25;5.923,91;5.921,57
20/01/2014;-0,02%;0,00%;5.927,57;5.926,24;5.923,89
21/01/2014;-0,02%;0,00%;5.929,89;5.928,57;5.926,22
22/01/2014;-0,02%;0,00%;5.932,22;5.930,89;5.928,55
23/01/2014;-0,02%;0,00%;5.934,55;5.933,22;5.930,87
24/01/2014;-0,02%;0,00%;5.936,87;5.935,55;5.933,20
27/01/2014;-0,02%;0,00%;5.939,20;5.937,88;5.935,53
28/01/2014;-0,02%;0,00%;5.941,52;5.940,22;5.937,86
29/01/2014;-0,02%;0,00%;5.943,85;5.942,55;5.940,19
30/01/2014;-0,02%;0,00%;5.946,18;5.944,88;5.942,53
31/01/2014;-0,02%;0,00%;5.948,51;5.947,22;5.944,86
03/02/2014;-0,02%;0,00%;5.950,84;5.949,55;5.947,20
04/02/2014;-0,02%;0,00%;5.953,17;5.951,89;5.949,53
05/02/2014;-0,02%;0,00%;5.955,51;5.954,23;5.951,87
06/02/2014;-0,02%;0,00%;5.957,85;5.956,56;5.954,20
07/02/2014;-0,02%;0,00%;5.960,18;5.958,90;5.956,54
10/02/2014;-0,02%;0,00%;5.962,51;5.961,24;5.958,88
11/02/2014;-0,02%;0,00%;5.964,85;5.963,58;5.961,22
12/02/2014;-0,02%;0,00%;5.967,19;5.965,93;5.963,56
13/02/2014;-0,02%;0,00%;5.969,53;5.968,27;5.965,91
14/02/2014;-0,02%;0,00%;5.971,87;5.970,61;5.968,25
17/02/2014;-0,02%;0,00%;5.974,21;5.972,96;5.970,59
18/02/2014;-0,02%;0,00%;5.976,55;5.975,30;5.972,94
19/02/2014;-0,02%;0,00%;5.978,89;5.977,65;5.975,28
20/02/2014;-0,02%;0,00%;5.981,24;5.980,00;5.977,63
21/02/2014;-0,02%;0,00%;5.983,58;5.982,35;5.979,98
24/02/2014;-0,02%;0,00%;5.985,92;5.984,69;5.982,32
25/02/2014;-0,02%;0,00%;5.988,27;5.987,05;5.984,67
26/02/2014;-0,02%;0,00%;5.990,62;5.989,40;5.987,02
27/02/2014;-0,02%;0,00%;5.993,02;5.991,80;5.989,37
28/02/2014;-0,02%;0,00%;5.995,42;5.994,21;5.991,78
05/03/2014;-0,02%;0,00%;5.997,82;5.996,62;5.994,19
06/03/2014;-0,02%;0,00%;6.000,23;5.999,03;5.996,60
07/03/2014;-0,02%;0,00%;6.002,64;6.001,44;5.999,00
10/03/2014;-0,02%;0,00%;6.005,04;6.003,85;6.001,41
11/03/2014;-0,02%;0,00%;6.007,45;6.006,26;6.003,82
12/03/2014;-0,02%;-0,01%;6.009,85;6.009,26;6.006,83
13/03/2014;-0,02%;-0,01%;6.012,26;6.011,67;6.009,24
14/03/2014;-0,02%;-0,01%;6.014,68;6.014,09;6.011,65
17/03/2014;-0,02%;-0,01%;6.017,09;6.016,50;6.014,07
