Vencimento;07/03/2017;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2013;-0,01%;0,03%;5.452,87;5.443,79;5.442,27
03/01/2013;-0,01%;0,03%;5.454,36;5.445,29;5.443,76
04/01/2013;-0,01%;0,03%;5.455,84;5.446,78;5.445,26
07/01/2013;-0,01%;0,03%;5.457,33;5.448,27;5.446,75
08/01/2013;-0,01%;0,03%;5.458,81;5.449,76;5.448,24
09/01/2013;-0,01%;0,03%;5.460,30;5.451,25;5.449,73
10/01/2013;-0,01%;0,03%;5.461,78;5.452,74;5.451,22
11/01/2013;-0,01%;0,03%;5.463,27;5.454,24;5.452,72
14/01/2013;-0,01%;0,03%;5.464,76;5.455,73;5.454,21
15/01/2013;-0,01%;0,03%;5.466,25;5.457,22;5.455,70
16/01/2013;-0,01%;0,03%;5.467,73;5.458,71;5.457,19
17/01/2013;-0,01%;0,03%;5.469,22;5.460,21;5.458,69
18/01/2013;-0,01%;0,03%;5.470,71;5.461,71;5.460,18
21/01/2013;-0,01%;0,03%;5.472,20;5.463,20;5.461,68
22/01/2013;-0,01%;0,03%;5.473,69;5.464,70;5.463,17
23/01/2013;-0,01%;0,03%;5.475,18;5.466,19;5.464,67
24/01/2013;-0,01%;0,03%;5.478,19;5.469,22;5.466,16
28/01/2013;-0,01%;0,03%;5.479,65;5.470,68;5.469,16
29/01/2013;-0,01%;0,03%;5.481,14;5.472,18;5.470,66
30/01/2013;-0,01%;0,03%;5.482,63;5.473,68;5.472,15
31/01/2013;-0,01%;0,03%;5.484,13;5.475,18;5.473,65
01/02/2013;-0,01%;0,03%;5.485,62;5.476,68;5.475,15
04/02/2013;-0,01%;0,03%;5.487,11;5.478,18;5.476,65
05/02/2013;-0,02%;0,02%;5.490,84;5.481,91;5.480,38
06/02/2013;-0,02%;0,02%;5.492,33;5.483,40;5.481,88
07/02/2013;-0,02%;0,02%;5.493,83;5.484,90;5.483,38
08/02/2013;-0,02%;0,02%;5.495,32;5.486,41;5.484,88
13/02/2013;-0,02%;0,02%;5.496,81;5.487,91;5.486,38
14/02/2013;-0,02%;0,02%;5.498,31;5.489,41;5.487,88
15/02/2013;-0,02%;0,02%;5.499,80;5.490,90;5.489,38
18/02/2013;-0,02%;0,02%;5.501,30;5.492,41;5.490,88
19/02/2013;-0,02%;0,02%;5.502,79;5.493,91;5.492,38
20/02/2013;-0,02%;0,02%;5.504,29;5.495,41;5.493,88
21/02/2013;-0,02%;0,02%;5.505,78;5.496,92;5.495,38
22/02/2013;-0,02%;0,02%;5.507,28;5.498,41;5.496,89
25/02/2013;-0,02%;0,02%;5.508,78;5.499,92;5.498,39
26/02/2013;-0,02%;0,02%;5.510,28;5.501,42;5.499,89
27/02/2013;-0,02%;0,02%;5.511,79;5.502,94;5.501,41
28/02/2013;-0,02%;0,02%;5.513,30;5.504,47;5.502,93
01/03/2013;-0,02%;0,02%;5.514,82;5.505,99;5.504,46
04/03/2013;-0,02%;0,02%;5.516,33;5.507,50;5.505,96
05/03/2013;-0,02%;0,02%;5.517,83;5.509,01;5.507,47
06/03/2013;-0,02%;0,02%;5.519,33;5.510,52;5.508,98
07/03/2013;-0,02%;0,02%;5.520,83;5.512,02;5.510,49
08/03/2013;-0,02%;0,02%;5.522,34;5.513,53;5.512,00
11/03/2013;-0,02%;0,02%;5.523,85;5.515,05;5.513,51
12/03/2013;-0,03%;0,01%;5.527,55;5.518,76;5.517,22
13/03/2013;-0,03%;0,01%;5.529,05;5.520,27;5.518,74
14/03/2013;-0,03%;0,01%;5.530,56;5.521,78;5.520,25
15/03/2013;-0,03%;0,01%;5.532,08;5.523,30;5.521,76
18/03/2013;-0,03%;0,01%;5.533,59;5.524,82;5.523,28
19/03/2013;-0,03%;0,01%;5.535,10;5.526,34;5.524,80
20/03/2013;-0,03%;0,01%;5.536,61;5.527,86;5.526,32
21/03/2013;-0,03%;0,01%;5.538,12;5.529,37;5.527,84
22/03/2013;-0,03%;0,01%;5.539,64;5.530,90;5.529,36
25/03/2013;-0,03%;0,01%;5.541,15;5.532,41;5.530,88
26/03/2013;-0,03%;0,01%;5.542,67;5.533,94;5.532,40
27/03/2013;-0,03%;0,01%;5.544,18;5.535,46;5.533,92
28/03/2013;-0,03%;0,01%;5.545,70;5.536,98;5.535,44
01/04/2013;-0,03%;0,01%;5.547,21;5.538,50;5.536,96
02/04/2013;-0,03%;0,01%;5.548,73;5.540,02;5.538,48
03/04/2013;-0,03%;0,01%;5.550,25;5.541,55;5.540,00
04/04/2013;-0,03%;0,01%;5.551,76;5.543,07;5.541,53
05/04/2013;-0,03%;0,01%;5.553,28;5.544,59;5.543,05
08/04/2013;-0,03%;0,01%;5.554,80;5.546,12;5.544,57
09/04/2013;-0,03%;0,01%;5.556,31;5.547,64;5.546,10
10/04/2013;-0,03%;0,01%;5.557,83;5.549,17;5.547,62
11/04/2013;-0,03%;0,01%;5.559,35;5.550,69;5.549,15
12/04/2013;-0,03%;0,01%;5.560,87;5.552,21;5.550,67
15/04/2013;-0,04%;0,00%;5.564,56;5.555,90;5.554,36
16/04/2013;-0,04%;0,00%;5.566,07;5.557,43;5.555,89
17/04/2013;-0,04%;0,00%;5.567,59;5.558,95;5.557,41
