Vencimento;01/01/2021;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2019;7,32%;7,44%;868,48;866,54;866,29
03/01/2019;7,18%;7,30%;870,98;869,04;868,80
04/01/2019;7,26%;7,38%;869,93;868,00;867,75
07/01/2019;7,26%;7,38%;870,17;868,24;868,00
08/01/2019;7,34%;7,46%;869,13;867,21;866,96
09/01/2019;7,33%;7,45%;869,53;867,62;867,37
10/01/2019;7,37%;7,49%;869,14;867,23;866,98
11/01/2019;7,42%;7,54%;868,59;866,68;866,43
14/01/2019;7,43%;7,55%;868,68;866,77;866,52
15/01/2019;7,34%;7,46%;870,35;868,45;868,20
16/01/2019;7,43%;7,55%;869,17;867,27;867,02
17/01/2019;7,43%;7,55%;869,42;867,52;867,27
18/01/2019;7,32%;7,44%;871,40;869,51;869,26
21/01/2019;7,37%;7,49%;870,86;868,97;868,72
22/01/2019;7,31%;7,43%;872,05;870,16;869,91
23/01/2019;7,25%;7,37%;873,24;871,35;871,10
24/01/2019;7,18%;7,30%;874,82;872,94;872,45
25/01/2019;7,18%;7,30%;874,82;872,94;872,69
28/01/2019;7,19%;7,31%;874,91;873,03;872,78
29/01/2019;7,16%;7,28%;875,62;873,74;873,50
30/01/2019;7,04%;7,16%;877,74;875,86;875,62
31/01/2019;7,00%;7,12%;878,61;876,73;876,49
01/02/2019;6,99%;7,11%;879,00;877,12;876,88
04/02/2019;6,97%;7,09%;879,55;877,67;877,43
05/02/2019;7,00%;7,12%;879,32;877,44;877,21
06/02/2019;7,04%;7,16%;878,93;877,06;876,82
07/02/2019;7,13%;7,25%;877,77;875,91;875,67
08/02/2019;7,10%;7,22%;878,47;876,62;876,37
11/02/2019;7,21%;7,33%;877,01;875,17;874,92
12/02/2019;7,19%;7,31%;877,56;875,72;875,47
13/02/2019;7,08%;7,20%;879,50;877,65;877,41
14/02/2019;6,99%;7,11%;881,12;879,28;879,04
15/02/2019;6,96%;7,08%;881,82;879,98;879,74
18/02/2019;6,95%;7,07%;882,21;880,37;880,13
19/02/2019;6,96%;7,08%;882,29;880,45;880,22
20/02/2019;6,95%;7,07%;882,68;880,85;880,61
21/02/2019;7,08%;7,20%;880,93;879,11;878,86
22/02/2019;7,05%;7,17%;881,63;879,80;879,56
25/02/2019;7,01%;7,13%;882,48;880,65;880,41
26/02/2019;7,10%;7,22%;881,35;879,53;879,29
27/02/2019;7,11%;7,23%;881,44;879,62;879,38
28/02/2019;7,08%;7,20%;882,13;880,32;880,08
01/03/2019;7,14%;7,26%;881,46;879,66;879,42
06/03/2019;7,17%;7,29%;881,26;879,46;879,21
07/03/2019;7,17%;7,29%;881,50;879,70;879,46
08/03/2019;7,14%;7,26%;882,19;880,40;880,15
11/03/2019;7,06%;7,18%;883,63;881,83;881,59
12/03/2019;7,03%;7,15%;884,31;882,52;882,28
13/03/2019;6,94%;7,06%;885,90;884,11;883,87
14/03/2019;6,92%;7,04%;886,43;884,64;884,40
15/03/2019;6,98%;7,10%;885,77;883,99;883,75
18/03/2019;6,94%;7,06%;886,61;884,82;884,58
19/03/2019;6,89%;7,01%;887,58;885,80;885,57
20/03/2019;6,90%;7,02%;887,67;885,89;885,66
21/03/2019;6,81%;6,93%;889,24;887,46;887,23
