Vencimento;01/01/2022;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
01/02/2019;7,64%;7,76%;807,46;804,85;804,61
04/02/2019;7,61%;7,73%;808,35;805,74;805,50
05/02/2019;7,65%;7,77%;807,72;805,11;804,87
06/02/2019;7,71%;7,83%;806,65;804,06;803,82
07/02/2019;7,80%;7,92%;804,94;802,36;802,12
08/02/2019;7,79%;7,91%;805,40;802,82;802,58
11/02/2019;7,90%;8,02%;803,27;800,71;800,46
12/02/2019;7,84%;7,96%;804,80;802,23;801,99
13/02/2019;7,75%;7,87%;806,98;804,40;804,16
14/02/2019;7,67%;7,79%;808,94;806,36;806,12
15/02/2019;7,61%;7,73%;810,47;807,89;807,65
18/02/2019;7,60%;7,72%;810,92;808,34;808,10
19/02/2019;7,63%;7,75%;810,51;807,94;807,70
20/02/2019;7,60%;7,72%;811,39;808,82;808,58
21/02/2019;7,77%;7,89%;807,99;805,43;805,19
22/02/2019;7,74%;7,86%;808,87;806,31;806,07
25/02/2019;7,66%;7,78%;810,82;808,25;808,01
26/02/2019;7,77%;7,89%;808,71;806,16;805,91
27/02/2019;7,78%;7,90%;808,73;806,19;805,95
28/02/2019;7,74%;7,86%;809,82;807,28;807,04
01/03/2019;7,80%;7,92%;808,79;806,25;806,01
06/03/2019;7,86%;7,98%;807,76;805,23;804,99
07/03/2019;7,86%;7,98%;808,01;805,48;805,23
08/03/2019;7,83%;7,95%;808,88;806,35;806,11
11/03/2019;7,72%;7,84%;811,45;808,91;808,67
12/03/2019;7,67%;7,79%;812,74;810,21;809,97
13/03/2019;7,56%;7,68%;815,31;812,77;812,53
14/03/2019;7,58%;7,70%;815,13;812,59;812,35
15/03/2019;7,65%;7,77%;813,88;811,35;811,11
18/03/2019;7,58%;7,70%;815,60;813,07;812,83
19/03/2019;7,52%;7,64%;817,10;814,57;814,33
20/03/2019;7,51%;7,63%;817,55;815,02;814,78
21/03/2019;7,43%;7,55%;819,48;816,94;816,70
