Vencimento;01/04/2007;;;;
Dia;Taxa Compra 9:00;Taxa Venda 9:00;PU Compra 9:00;PU Venda 9:00;PU Extrato 9:00
02/01/2007;12,87%;12,90%;971,11;971,05;970,58
03/01/2007;12,87%;12,90%;971,58;971,52;971,05
04/01/2007;12,86%;12,89%;972,07;972,01;971,54
05/01/2007;12,89%;12,92%;972,48;972,42;971,95
08/01/2007;12,88%;12,91%;972,96;972,90;972,44
09/01/2007;12,89%;12,92%;973,41;973,35;972,88
10/01/2007;12,89%;12,92%;973,88;973,82;973,35
11/01/2007;12,88%;12,91%;974,37;974,31;973,84
12/01/2007;12,87%;12,90%;974,85;974,80;974,33
15/01/2007;12,87%;12,90%;975,32;975,27;974,80
16/01/2007;12,87%;12,90%;975,79;975,74;975,27
17/01/2007;12,85%;12,88%;976,29;976,24;975,77
18/01/2007;12,83%;12,86%;976,80;976,75;976,28
19/01/2007;12,81%;12,84%;977,30;977,25;976,78
22/01/2007;12,80%;12,83%;977,78;977,73;977,26
23/01/2007;12,79%;12,82%;978,26;978,22;977,75
24/01/2007;12,79%;12,82%;978,73;978,69;978,22
25/01/2007;12,85%;12,88%;979,11;979,06;978,59
26/01/2007;12,85%;12,88%;979,58;979,53;979,06
29/01/2007;12,89%;12,92%;979,99;979,95;979,47
30/01/2007;12,88%;12,91%;980,48;980,43;979,96
31/01/2007;12,86%;12,89%;980,98;980,93;980,46
01/02/2007;12,87%;12,90%;981,43;981,39;980,92
02/02/2007;12,88%;12,91%;981,89;981,85;981,38
05/02/2007;12,87%;12,90%;982,38;982,34;981,87
06/02/2007;12,88%;12,91%;982,84;982,80;982,33
07/02/2007;12,85%;12,88%;983,34;983,31;982,84
08/02/2007;12,84%;12,87%;983,83;983,79;983,32
09/02/2007;12,84%;12,87%;984,30;984,27;983,79
12/02/2007;12,82%;12,85%;984,79;984,76;984,29
13/02/2007;12,83%;12,86%;985,26;985,22;984,75
14/02/2007;12,81%;12,84%;985,75;985,72;985,24
15/02/2007;12,81%;12,84%;986,22;986,19;985,72
16/02/2007;12,80%;12,83%;986,70;986,67;986,20
21/02/2007;12,80%;12,83%;987,17;987,14;986,67
22/02/2007;12,79%;12,82%;987,65;987,63;987,15
23/02/2007;12,80%;12,83%;988,12;988,09;987,62
26/02/2007;12,79%;12,82%;988,60;988,57;988,10
27/02/2007;12,78%;12,81%;989,08;989,05;988,58
28/02/2007;12,79%;12,82%;989,54;989,52;989,05
01/03/2007;12,79%;12,82%;990,02;989,99;989,52
02/03/2007;12,79%;12,82%;990,49;990,47;989,99
05/03/2007;12,76%;12,79%;990,98;990,96;990,49
06/03/2007;12,74%;12,77%;991,47;991,45;990,97
07/03/2007;12,72%;12,75%;991,95;991,93;991,46
08/03/2007;12,70%;12,73%;992,43;992,42;991,94
