Vencimento;01/01/2023;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2018;9,87%;9,99%;625,77;622,37;622,14
03/01/2018;9,68%;9,80%;631,41;627,99;627,76
04/01/2018;9,69%;9,81%;631,36;627,94;627,70
05/01/2018;9,71%;9,83%;631,02;627,60;627,37
08/01/2018;9,72%;9,84%;630,97;627,55;627,32
09/01/2018;9,64%;9,76%;633,49;630,06;629,83
10/01/2018;9,72%;9,84%;631,43;628,02;627,79
11/01/2018;9,64%;9,76%;633,95;630,52;630,29
12/01/2018;9,57%;9,69%;636,19;632,75;632,52
15/01/2018;9,50%;9,62%;638,43;634,99;634,75
16/01/2018;9,59%;9,71%;636,08;632,65;632,41
17/01/2018;9,58%;9,70%;636,59;633,16;632,93
18/01/2018;9,59%;9,71%;636,54;633,11;632,88
19/01/2018;9,52%;9,64%;638,78;635,34;635,11
22/01/2018;9,57%;9,69%;637,57;634,15;633,91
23/01/2018;9,61%;9,73%;636,66;633,24;633,01
24/01/2018;9,67%;9,79%;635,41;632,01;631,54
26/01/2018;9,33%;9,45%;645,41;641,94;641,71
29/01/2018;9,41%;9,53%;643,33;639,88;639,65
30/01/2018;9,43%;9,55%;642,98;639,54;639,30
31/01/2018;9,39%;9,51%;644,36;640,91;640,68
01/02/2018;9,41%;9,53%;644,25;640,80;640,34
05/02/2018;9,55%;9,67%;640,46;637,05;636,81
06/02/2018;9,64%;9,76%;638,13;634,73;634,50
07/02/2018;9,45%;9,57%;643,79;640,36;640,12
08/02/2018;9,45%;9,57%;644,02;640,59;640,36
09/02/2018;9,49%;9,61%;643,10;639,68;639,45
14/02/2018;9,48%;9,60%;643,62;640,20;639,97
15/02/2018;9,44%;9,56%;645,00;641,57;641,34
16/02/2018;9,43%;9,55%;645,51;642,09;641,85
19/02/2018;9,36%;9,48%;647,75;644,31;644,08
20/02/2018;9,45%;9,57%;645,40;641,98;641,75
21/02/2018;9,36%;9,48%;648,21;644,78;644,55
22/02/2018;9,39%;9,51%;647,58;644,15;643,92
23/02/2018;9,25%;9,37%;651,84;648,39;648,16
26/02/2018;9,29%;9,41%;650,92;647,47;647,24
27/02/2018;9,26%;9,38%;652,01;648,56;648,33
28/02/2018;9,26%;9,38%;652,24;648,79;648,56
01/03/2018;9,24%;9,36%;653,04;649,60;649,37
02/03/2018;9,18%;9,30%;655,00;651,55;651,32
05/03/2018;9,09%;9,21%;657,84;654,37;654,14
06/03/2018;9,03%;9,15%;659,81;656,33;656,10
07/03/2018;9,10%;9,22%;658,00;654,54;654,31
08/03/2018;9,08%;9,20%;658,81;655,34;655,11
09/03/2018;9,10%;9,22%;658,46;654,99;654,77
12/03/2018;9,09%;9,21%;658,97;655,51;655,28
13/03/2018;9,12%;9,24%;658,33;654,88;654,65
14/03/2018;9,04%;9,16%;660,88;657,41;657,18
15/03/2018;9,11%;9,23%;659,08;655,62;655,40
16/03/2018;9,05%;9,17%;661,04;657,58;657,35
19/03/2018;9,01%;9,13%;662,43;658,96;658,73
20/03/2018;9,03%;9,15%;662,08;658,61;658,38
21/03/2018;9,11%;9,23%;659,99;656,54;656,31
22/03/2018;8,90%;9,02%;666,31;662,82;662,59
23/03/2018;8,95%;9,07%;665,08;661,60;661,37
26/03/2018;8,92%;9,04%;666,17;662,70;662,47
27/03/2018;8,86%;8,98%;668,15;664,66;664,43
28/03/2018;8,89%;9,01%;667,50;664,02;663,79
29/03/2018;8,95%;9,07%;665,98;662,52;662,29
02/04/2018;8,93%;9,05%;666,79;663,32;663,09
03/04/2018;8,90%;9,02%;667,89;664,41;664,18
04/04/2018;9,12%;9,24%;661,76;658,33;658,10
05/04/2018;8,87%;8,99%;669,21;665,73;665,51
06/04/2018;8,98%;9,10%;666,25;662,80;662,57
09/04/2018;9,09%;9,21%;663,31;659,88;659,65
10/04/2018;9,07%;9,19%;664,11;660,68;660,45
11/04/2018;9,13%;9,25%;662,62;659,20;658,97
12/04/2018;8,99%;9,11%;666,87;663,43;663,20
13/04/2018;9,06%;9,18%;665,09;661,66;661,43
16/04/2018;9,08%;9,20%;664,74;661,32;661,09
17/04/2018;9,02%;9,14%;666,69;663,26;663,03
18/04/2018;9,01%;9,13%;667,21;663,77;663,54
19/04/2018;8,95%;9,07%;669,16;665,72;665,49
20/04/2018;8,97%;9,09%;668,81;665,38;665,15
23/04/2018;8,99%;9,11%;668,47;665,04;664,81
24/04/2018;9,07%;9,19%;666,41;662,99;662,76
25/04/2018;9,23%;9,35%;662,09;658,70;658,47
26/04/2018;9,09%;9,21%;666,30;662,89;662,65
27/04/2018;9,06%;9,18%;667,38;663,97;663,74
30/04/2018;9,03%;9,15%;668,47;665,05;664,82
02/05/2018;9,10%;9,22%;666,70;663,30;663,07
03/05/2018;9,10%;9,22%;666,93;663,53;663,30
04/05/2018;9,18%;9,30%;664,89;661,51;661,28
07/05/2018;9,17%;9,29%;665,41;662,02;661,79
08/05/2018;9,28%;9,40%;662,54;659,17;658,94
09/05/2018;9,50%;9,62%;656,62;653,30;653,06
10/05/2018;9,48%;9,60%;657,41;654,09;653,85
11/05/2018;9,32%;9,44%;662,12;658,76;658,53
14/05/2018;9,42%;9,54%;659,56;656,22;655,99
15/05/2018;9,62%;9,74%;654,25;650,95;650,71
16/05/2018;9,52%;9,64%;657,25;653,94;653,70
17/05/2018;9,50%;9,62%;658,04;654,73;654,49
18/05/2018;9,73%;9,85%;651,95;648,67;648,43
21/05/2018;9,98%;10,10%;645,39;642,16;641,91
22/05/2018;9,87%;9,99%;648,61;645,36;645,12
23/05/2018;9,99%;10,11%;645,61;642,38;642,14
