Vencimento;01/01/2025;;;;
Dia;Taxa Compra Manhã;Taxa Venda Manhã;PU Compra Manhã;PU Venda Manhã;PU Base Manhã
02/01/2019;9,05%;9,17%;595,44;591,54;591,33
03/01/2019;8,96%;9,08%;598,60;594,67;594,46
04/01/2019;9,03%;9,15%;596,51;592,60;592,39
07/01/2019;8,93%;9,05%;599,99;596,06;595,85
08/01/2019;8,94%;9,06%;599,86;595,94;595,73
09/01/2019;8,87%;8,99%;602,37;598,43;598,22
10/01/2019;8,89%;9,01%;601,92;597,98;597,77
11/01/2019;8,91%;9,03%;601,46;597,53;597,32
14/01/2019;8,96%;9,08%;600,02;596,11;595,90
15/01/2019;8,87%;8,99%;603,19;599,25;599,04
16/01/2019;8,99%;9,11%;599,45;595,54;595,34
17/01/2019;9,02%;9,14%;598,68;594,78;594,57
18/01/2019;8,94%;9,06%;601,50;597,58;597,37
21/01/2019;8,97%;9,09%;600,72;596,81;596,60
22/01/2019;8,89%;9,01%;603,55;599,62;599,41
23/01/2019;8,89%;9,01%;603,75;599,82;599,62
24/01/2019;8,77%;8,89%;608,11;604,16;603,75
25/01/2019;8,85%;8,97%;605,47;601,54;601,33
28/01/2019;8,87%;8,99%;605,02;601,09;600,89
29/01/2019;8,84%;8,96%;606,21;602,28;602,07
30/01/2019;8,72%;8,84%;610,38;606,41;606,21
31/01/2019;8,75%;8,87%;609,59;605,63;605,43
01/02/2019;8,63%;8,75%;613,77;609,79;609,59
04/02/2019;8,59%;8,71%;615,31;611,32;611,11
05/02/2019;8,59%;8,71%;615,51;611,52;611,32
06/02/2019;8,69%;8,81%;612,38;608,42;608,22
07/02/2019;8,76%;8,88%;610,27;606,33;606,12
08/02/2019;8,77%;8,89%;610,14;606,20;606,00
11/02/2019;8,86%;8,98%;607,39;603,47;603,27
12/02/2019;8,79%;8,91%;609,89;605,96;605,75
13/02/2019;8,69%;8,81%;613,40;609,44;609,24
14/02/2019;8,67%;8,79%;614,26;610,30;610,10
15/02/2019;8,59%;8,71%;617,12;613,14;612,94
18/02/2019;8,57%;8,69%;617,99;614,01;613,80
19/02/2019;8,59%;8,71%;617,52;613,55;613,34
20/02/2019;8,53%;8,65%;619,73;615,74;615,53
21/02/2019;8,73%;8,85%;613,30;609,36;609,15
22/02/2019;8,72%;8,84%;613,83;609,89;609,68
25/02/2019;8,63%;8,75%;617,01;613,05;612,84
26/02/2019;8,74%;8,86%;613,58;609,65;609,44
27/02/2019;8,75%;8,87%;613,45;609,52;609,32
28/02/2019;8,75%;8,87%;613,66;609,73;609,52
01/03/2019;8,82%;8,94%;611,57;607,66;607,45
06/03/2019;8,89%;9,01%;609,49;605,60;605,39
07/03/2019;8,88%;9,00%;610,02;606,13;605,92
08/03/2019;8,83%;8,95%;611,86;607,96;607,75
11/03/2019;8,70%;8,82%;616,32;612,39;612,18
12/03/2019;8,63%;8,75%;618,83;614,88;614,68
13/03/2019;8,55%;8,67%;621,68;617,72;617,51
14/03/2019;8,55%;8,67%;621,89;617,92;617,72
15/03/2019;8,64%;8,76%;619,11;615,17;614,97
18/03/2019;8,55%;8,67%;622,29;618,33;618,12
19/03/2019;8,50%;8,62%;624,15;620,18;619,98
20/03/2019;8,50%;8,62%;624,36;620,38;620,18
21/03/2019;8,42%;8,54%;627,22;623,23;623,03
